Country/area,Technology,Grid connection,Year,Installed electricity capacity by country/area (MW)
Canada,Biogas,On-grid,2008,126
Canada,Biogas,On-grid,2009,136
Canada,Biogas,On-grid,2010,136
Canada,Biogas,On-grid,2011,130
Canada,Biogas,On-grid,2012,116
Canada,Biogas,On-grid,2013,116
Canada,Biogas,On-grid,2014,116
Canada,Biogas,On-grid,2015,116
Canada,Biogas,On-grid,2016,116
Canada,Biogas,On-grid,2017,139
Canada,Biogas,On-grid,2018,139
Canada,Biogas,On-grid,2019,139
Canada,Biogas,On-grid,2020,145.9
Canada,Geothermal energy,Off-grid,2000,..
Canada,Geothermal energy,Off-grid,2001,..
Canada,Geothermal energy,Off-grid,2002,..
Canada,Geothermal energy,Off-grid,2003,..
Canada,Geothermal energy,Off-grid,2004,..
Canada,Geothermal energy,Off-grid,2005,..
Canada,Geothermal energy,Off-grid,2006,..
Canada,Geothermal energy,Off-grid,2007,..
Canada,Geothermal energy,Off-grid,2008,..
Canada,Geothermal energy,Off-grid,2009,..
Canada,Geothermal energy,Off-grid,2010,..
Canada,Geothermal energy,Off-grid,2011,..
Canada,Geothermal energy,Off-grid,2012,..
Canada,Geothermal energy,Off-grid,2013,..
Canada,Geothermal energy,Off-grid,2014,..
Canada,Geothermal energy,Off-grid,2015,..
Canada,Geothermal energy,Off-grid,2016,..
Canada,Geothermal energy,Off-grid,2017,..
Canada,Geothermal energy,Off-grid,2018,..
Canada,Geothermal energy,Off-grid,2019,..
Canada,Geothermal energy,Off-grid,2020,..
Canada,Geothermal energy,On-grid,2000,..
Canada,Geothermal energy,On-grid,2001,..
Canada,Geothermal energy,On-grid,2002,..
Canada,Geothermal energy,On-grid,2003,..
Canada,Geothermal energy,On-grid,2004,..
Canada,Geothermal energy,On-grid,2005,..
Canada,Geothermal energy,On-grid,2006,..
Canada,Geothermal energy,On-grid,2007,..
Canada,Geothermal energy,On-grid,2008,..
Canada,Geothermal energy,On-grid,2009,..
Canada,Geothermal energy,On-grid,2010,..
Canada,Geothermal energy,On-grid,2011,..
Canada,Geothermal energy,On-grid,2012,..
Canada,Geothermal energy,On-grid,2013,..
Canada,Geothermal energy,On-grid,2014,..
Canada,Geothermal energy,On-grid,2015,..
Canada,Geothermal energy,On-grid,2016,..
Canada,Geothermal energy,On-grid,2017,..
Canada,Geothermal energy,On-grid,2018,..
Canada,Geothermal energy,On-grid,2019,..
Canada,Geothermal energy,On-grid,2020,..
Canada,Marine energy,Off-grid,2000,..
Canada,Marine energy,Off-grid,2001,..
Canada,Marine energy,Off-grid,2002,..
Canada,Marine energy,Off-grid,2003,..
Canada,Marine energy,Off-grid,2004,..
Canada,Marine energy,Off-grid,2005,..
Canada,Marine energy,Off-grid,2006,..
Canada,Marine energy,Off-grid,2007,..
Canada,Marine energy,Off-grid,2008,..
Canada,Marine energy,Off-grid,2009,..
Canada,Marine energy,Off-grid,2010,..
Canada,Marine energy,Off-grid,2011,..
Canada,Marine energy,Off-grid,2012,..
Canada,Marine energy,Off-grid,2013,..
Canada,Marine energy,Off-grid,2014,..
Canada,Marine energy,Off-grid,2015,..
Canada,Marine energy,Off-grid,2016,..
Canada,Marine energy,Off-grid,2017,..
Canada,Marine energy,Off-grid,2018,..
Canada,Marine energy,Off-grid,2019,..
Canada,Marine energy,Off-grid,2020,..
Canada,Marine energy,On-grid,2000,20
Canada,Marine energy,On-grid,2001,20
Canada,Marine energy,On-grid,2002,20
Canada,Marine energy,On-grid,2003,20
Canada,Marine energy,On-grid,2004,20
Canada,Marine energy,On-grid,2005,20
Canada,Marine energy,On-grid,2006,20
